Nom_espece_source;Latitude;Longitude
Convolvulus lanuginosus;38,25361;-0,91997
Convolvulus lanuginosus;38,25592;-0,81866
Convolvulus lanuginosus;38,25813;-0,91721
Convolvulus lanuginosus;38,265854;-1,17875
Convolvulus lanuginosus;38,29656;-0,8044
Convolvulus lanuginosus;38,29905;-0,94154
Convolvulus lanuginosus;38,29925;-0,95297
Convolvulus lanuginosus;38,30683;-0,8727
Convolvulus lanuginosus;38,30825;-0,95272
Convolvulus lanuginosus;38,32421;-0,83788
Convolvulus lanuginosus;38,32442;-0,84931
Convolvulus lanuginosus;38,32463;-0,86075
Convolvulus lanuginosus;38,32606;-0,94078
Convolvulus lanuginosus;38,33916;-0,67727
Convolvulus lanuginosus;38,33984;-0,71157
Convolvulus lanuginosus;38,34159;-0,80304
Convolvulus lanuginosus;38,34306;-0,88309
Convolvulus lanuginosus;38,34468;-0,97457
Convolvulus lanuginosus;38,34487;-0,98601
Convolvulus lanuginosus;38,34546;-1,02032
Convolvulus lanuginosus;38,34584;-1,0432
Convolvulus lanuginosus;38,34603;-1,05463
Convolvulus lanuginosus   ;38,34632;-0,5855
Convolvulus lanuginosus;38,35081;-0,8142
Convolvulus lanuginosus;38,35268;-0,91714
Convolvulus lanuginosus;38,35466;-1,03151
Convolvulus lanuginosus;38,35532;-0,58521
Convolvulus lanuginosus   ;38,36169;-0,91688
Convolvulus lanuginosus;38,36269;-0,97407
Convolvulus lanuginosus;38,3664;-0,68784
Convolvulus lanuginosus;38,36966;-0,85942
Convolvulus lanuginosus;38,3713;-0,95094
Convolvulus lanuginosus;38,37739;-0,79051
Convolvulus lanuginosus;38,37888;-0,8706
Convolvulus lanuginosus;38,3795;-0,90492
Convolvulus lanuginosus;38,3805;-0,96213
Convolvulus lanuginosus;38,38767;-0,85889
Convolvulus lanuginosus;38,38788;-0,87033
Convolvulus lanuginosus;38,39562;-0,80141
Convolvulus lanuginosus;38,39812;-0,93873
Convolvulus lanuginosus;38,40332;-0,73247
Convolvulus lanuginosus;38,40463;-0,80113
Convolvulus lanuginosus;38,40484;-0,81258
Convolvulus lanuginosus;38,40792;-0,98426
Convolvulus lanuginosus;38,40887;-0,56052
Convolvulus lanuginosus;38,41143;-0,68641
Convolvulus lanuginosus;38,41254;-0,74363
Convolvulus lanuginosus;38,41276;-0,75508
Convolvulus lanuginosus;38,41298;-0,76652
Convolvulus lanuginosus;38,4132;-0,77797
Convolvulus lanuginosus;38,42043;-0,68612
Convolvulus lanuginosus;38,42199;-0,76624
Convolvulus lanuginosus;38,42453;-0,90362
Convolvulus lanuginosus;38,42554;-0,96086
Convolvulus lanuginosus;38,42759;-0,59425
Convolvulus lanuginosus   Desf. in Lam.;38,43011;-0,72017
Convolvulus lanuginosus;38,43686;-1,09802
Convolvulus lanuginosus   Desf. in Lam.;38,43934;-0,73134
Convolvulus lanuginosus   Desf. in Lam.;38,44;-0,76569
Convolvulus lanuginosus;38,44878;-0,75396
Convolvulus lanuginosus   Desr. in Lam.;38,44978;-2,23217
Convolvulus lanuginosus;38,45412;-1,05173
Convolvulus lanuginosus;38,45972;-0,85676
Convolvulus lanuginosus   Desf. in Lam.;38,46635;-0,73049
Convolvulus lanuginosus;38,46809;-0,82213
Convolvulus lanuginosus;38,46831;-0,83358
Convolvulus lanuginosus;38,46997;-0,92523
Convolvulus lanuginosus;38,47752;-0,84477
Convolvulus lanuginosus;38,47773;-0,85623
Convolvulus lanuginosus;38,48491;-0,32869
Convolvulus lanuginosus;38,4862;-0,38596
Convolvulus lanuginosus;38,48653;-0,8445
Convolvulus lanuginosus;38,49494;-0,37418
Convolvulus lanuginosus;38,49511;-0,82131
Convolvulus lanuginosus;38,49532;-0,83277
Convolvulus lanuginosus;38,49595;-0,86715
Convolvulus lanuginosus;38,50282;-0,75228
Convolvulus lanuginosus;38,51093;-0,70616
Convolvulus lanuginosus   ;38,51116;-0,71762
Convolvulus lanuginosus;38,52144;-0,35028
Convolvulus lanuginosus;38,52148;-0,78611
Convolvulus lanuginosus;38,52272;-0,40758
Convolvulus lanuginosus;38,52446;-0,09785
Convolvulus lanuginosus;38,52544;-0,53365
Convolvulus lanuginosus;38,52579;-1,02686
Convolvulus lanuginosus;38,52939;-0,72851
Convolvulus lanuginosus;38,53317;-0,08603
Convolvulus lanuginosus;38,53346;-0,09749
Convolvulus lanuginosus;38,54246;-0,09713
Convolvulus lanuginosus;38,54682;-0,09122
Convolvulus lanuginosus;38,54686;-0,28051
Convolvulus lanuginosus;38,55163;-0,9573
Convolvulus lanuginosus;38,57865;-0,95654
Convolvulus lanuginosus;38,5956;-0,06055
Convolvulus lanuginosus;38,59703;-0,11789
Convolvulus lanuginosus;38,59723;-0,51971
Convolvulus lanuginosus;38,59731;-0,12936
Convolvulus lanuginosus;38,59787;-0,1523
Convolvulus lanuginosus;38,60139;-0,11198
Convolvulus lanuginosus;38,63044;0,01318
Convolvulus lanuginosus;38,63421;-0,56438
Convolvulus lanuginosus;38,63677;-0,69066
Convolvulus lanuginosus;38,63722;-0,71362
Convolvulus lanuginosus;38,63763;-0,68404
Convolvulus lanuginosus;38,64001;-0,41484
Convolvulus lanuginosus;38,64273;-0,54112
Convolvulus lanuginosus   ;38,64321;-0,56408
Convolvulus lanuginosus;38,64345;-0,57556
Convolvulus lanuginosus;38,65125;-0,51785
Convolvulus lanuginosus;38,65149;-0,52933
Convolvulus lanuginosus   ;38,65198;-0,55229
Convolvulus lanuginosus   ;38,65246;-0,57526
Convolvulus lanuginosus   ;38,65269;-0,58674
Convolvulus lanuginosus;38,65478;-0,69008
Convolvulus lanuginosus   ;38,65952;-0,48309
Convolvulus lanuginosus   ;38,65976;-0,49457
Convolvulus lanuginosus;38,66025;-0,51754
Convolvulus lanuginosus;38,66074;-0,5405
Convolvulus lanuginosus;38,66424;-0,71277
Convolvulus lanuginosus;38,66463;-0,51164
Convolvulus lanuginosus;38,66495;-0,32201
Convolvulus lanuginosus;38,66512;-0,53461
Convolvulus lanuginosus;38,66751;-0,31725
Convolvulus lanuginosus   ;38,66802;-0,45981
Convolvulus lanuginosus   ;38,66852;-0,48277
Convolvulus lanuginosus;38,66877;-0,49426
Convolvulus lanuginosus;38,66901;-0,50574
Convolvulus lanuginosus;38,66903;-0,115
Convolvulus lanuginosus;38,66926;-0,51723
Convolvulus lanuginosus;38,67573;-0,02279
Convolvulus lanuginosus   ;38,67752;-0,48246
Convolvulus lanuginosus;38,67803;-0,11464
Convolvulus lanuginosus   ;38,67851;-0,5284
Convolvulus lanuginosus;38,67971;-0,58583
Convolvulus lanuginosus;38,68409;-0,57994
Convolvulus lanuginosus   ;38,68414;-0,00054
Convolvulus lanuginosus;38,68578;-0,44768
Convolvulus lanuginosus;38,69343;-0,01056
Convolvulus lanuginosus;38,69603;-0,11392
Convolvulus lanuginosus;38,69795;-0,59672
Convolvulus lanuginosus;38,70503;-0,50449
Convolvulus lanuginosus;38,70624;-0,56194
Convolvulus lanuginosus;38,70672;-0,58492
Convolvulus lanuginosus;38,70742;-0,6194
Convolvulus lanuginosus;38,71027;-0,6175
Convolvulus lanuginosus;38,71095;-0,55104
Convolvulus lanuginosus;38,71363;-0,50362
Convolvulus lanuginosus;38,71375;-0,10171
Convolvulus lanuginosus;38,71476;-0,53865
Convolvulus lanuginosus;38,715;-0,55014
Convolvulus lanuginosus;38,71524;-0,56164
Convolvulus lanuginosus;38,71548;-0,57313
Convolvulus lanuginosus;38,7191;-0,5311
Convolvulus lanuginosus;38,71914;-0,53275
Convolvulus lanuginosus;38,71938;-0,54424
Convolvulus lanuginosus;38,7196;-0,78001
Convolvulus lanuginosus;38,71962;-0,55574
Convolvulus lanuginosus;38,71985;-0,53925
Convolvulus lanuginosus;38,71986;-0,56723
Convolvulus lanuginosus;38,71996;-0,53882
Convolvulus lanuginosus;38,72279;-0,49237
Convolvulus lanuginosus;38,72376;-0,53834
Convolvulus lanuginosus;38,72401;-0,54984
Convolvulus lanuginosus;38,72425;-0,56133
Convolvulus lanuginosus;38,72449;-0,57282
Convolvulus lanuginosus;38,72543;-0,6188
Convolvulus lanuginosus;38,72567;-0,63029
Convolvulus lanuginosus;38,72574;-0,48424
Convolvulus lanuginosus;38,72613;-0,65328
Convolvulus lanuginosus;38,72794;-0,74524
Convolvulus lanuginosus;38,72815;-0,53244
Convolvulus lanuginosus;38,72839;-0,54394
Convolvulus lanuginosus;38,72863;-0,55543
Convolvulus lanuginosus;38,72882;-0,79123
Convolvulus lanuginosus;38,72887;-0,56692
Convolvulus lanuginosus;38,72947;-0,82571
Convolvulus lanuginosus;38,72968;-0,83721
Convolvulus lanuginosus;38,72989;-0,84871
Convolvulus lanuginosus;38,73154;-0,48056
Convolvulus lanuginosus;38,73467;-0,63
Convolvulus lanuginosus;38,73627;-0,71047
Convolvulus lanuginosus;38,74683;-0,79067
Convolvulus lanuginosus;38,7554;-0,76739
Convolvulus lanuginosus;38,75816;-0,9169
Convolvulus lanuginosus;38,76777;-0,95115
Convolvulus lanuginosus;38,7742;-0,94688
Convolvulus lanuginosus;38,77466;-0,94616
Convolvulus lanuginosus;38,78061;-0,67452
Convolvulus lanuginosus;38,79272;-0,83531
Convolvulus lanuginosus;38,79431;-0,46684
Convolvulus lanuginosus;38,79456;-0,47834
Convolvulus lanuginosus;38,79998;-0,31696
Convolvulus lanuginosus;38,8005;-0,33997
Convolvulus lanuginosus;38,80282;-0,44351
Convolvulus lanuginosus;38,80307;-0,45502
Convolvulus lanuginosus;38,80332;-0,46652
Convolvulus lanuginosus;38,80357;-0,47803
Convolvulus lanuginosus;38,80431;-0,51254
Convolvulus lanuginosus;38,81003;-0,36265
Convolvulus lanuginosus;38,81029;-0,37415
Convolvulus lanuginosus;38,81157;-0,43168
Convolvulus lanuginosus;38,81182;-0,44319
Convolvulus lanuginosus;38,81207;-0,4547
Convolvulus lanuginosus;38,81232;-0,4662
Convolvulus lanuginosus;38,81428;-0,55826
Convolvulus lanuginosus;38,82032;-0,41985
Convolvulus lanuginosus;38,82057;-0,43136
Convolvulus lanuginosus;38,82082;-0,44287
Convolvulus lanuginosus;38,82132;-0,46588
Convolvulus lanuginosus;38,82157;-0,47739
Convolvulus lanuginosus;38,8228;-0,53493
Convolvulus lanuginosus;38,82304;-0,54644
Convolvulus lanuginosus;38,82353;-0,56946
Convolvulus lanuginosus;38,82777;-0,35047
Convolvulus lanuginosus;38,82906;-0,40802
Convolvulus lanuginosus;38,82932;-0,41953
Convolvulus lanuginosus;38,82957;-0,43103
Convolvulus lanuginosus;38,82982;-0,44254
Convolvulus lanuginosus;38,83622;-0,75335
Convolvulus lanuginosus;38,83807;-0,40769
Convolvulus lanuginosus;38,84089;-0,14263
Convolvulus lanuginosus;38,84522;-0,75306
Convolvulus lanuginosus;38,84525;-0,32678
Convolvulus lanuginosus;38,8463;-0,37283
Convolvulus lanuginosus;38,84655;-0,38434
Convolvulus lanuginosus;38,85265;-0,67217
Convolvulus lanuginosus;38,85288;-0,68369
Convolvulus lanuginosus;38,85423;-0,75278
Convolvulus lanuginosus;38,85478;-0,34947
Convolvulus lanuginosus;38,8553;-0,3725
Convolvulus lanuginosus;38,85556;-0,38401
Convolvulus lanuginosus;38,86111;-0,234
Convolvulus lanuginosus;38,86142;-0,66036
Convolvulus lanuginosus;38,86165;-0,67188
Convolvulus lanuginosus;38,86188;-0,6834
Convolvulus lanuginosus;38,86192;-0,26854
Convolvulus lanuginosus;38,86219;-0,28006
Convolvulus lanuginosus;38,86404;-0,36065
Convolvulus lanuginosus;38,8643;-0,37217
Convolvulus lanuginosus;38,87019;-0,64855
Convolvulus lanuginosus;38,87065;-0,25668
Convolvulus lanuginosus;38,87278;-0,3488
Convolvulus lanuginosus;38,87304;-0,36032
Convolvulus lanuginosus;38,8733;-0,37183
Convolvulus lanuginosus;38,88168;-0,77497
Convolvulus lanuginosus;38,88838;-0,24447
Convolvulus lanuginosus;38,88865;-0,25599
Convolvulus lanuginosus;38,88889;-0,68252
Convolvulus lanuginosus;38,88892;-0,26751
Convolvulus lanuginosus;38,89091;-0,78621
Convolvulus lanuginosus;38,8965;-0,61309
Convolvulus lanuginosus;38,89678;-0,25858
Convolvulus lanuginosus;38,89711;-0,23261
Convolvulus lanuginosus;38,89738;-0,24413
Convolvulus lanuginosus;38,89766;-0,25564
Convolvulus lanuginosus;38,89793;-0,26716
Convolvulus lanuginosus;38,89819;-0,27868
Convolvulus lanuginosus;38,89826;-0,2617
Convolvulus lanuginosus;38,9033;-0,2553
Convolvulus lanuginosus;38,90372;-0,25545
Convolvulus lanuginosus;38,90611;-0,23226
Convolvulus lanuginosus;38,90638;-0,24378
Convolvulus lanuginosus;38,9072;-0,27834
Convolvulus lanuginosus;38,91021;-0,85481
Convolvulus lanuginosus;38,91125;-0,91244
Convolvulus lanuginosus;38,91921;-0,85453
Convolvulus lanuginosus;38,9252;-0,27765
Convolvulus lanuginosus;38,93157;-0,56578
Convolvulus lanuginosus;38,93181;-0,5773
Convolvulus lanuginosus;38,93482;-0,72717
Convolvulus lanuginosus;38,93505;-0,7387
Convolvulus lanuginosus;38,93984;-0,53088
Convolvulus lanuginosus;38,9436;-0,71535
Convolvulus lanuginosus;38,94374;-0,30001
Convolvulus lanuginosus;38,94383;-0,72688
Convolvulus lanuginosus;38,944;-0,31154
Convolvulus lanuginosus;38,94405;-0,73841
Convolvulus lanuginosus;38,94472;-0,773
Convolvulus lanuginosus;38,94623;-0,85372
Convolvulus lanuginosus;38,94885;-0,53057
Convolvulus lanuginosus;38,95146;-0,6574
Convolvulus lanuginosus;38,95238;-0,70353
Convolvulus lanuginosus;38,95261;-0,71506
Convolvulus lanuginosus;38,95327;-0,32273
Convolvulus lanuginosus;38,95459;-0,81885
Convolvulus lanuginosus;38,95509;-0,40343
Convolvulus lanuginosus;38,95523;-0,85345
Convolvulus lanuginosus;38,95535;-0,41496
Convolvulus lanuginosus;38,95566;-0,87651
Convolvulus lanuginosus;38,95649;-0,92265
Convolvulus lanuginosus;38,96023;-0,64558
Convolvulus lanuginosus;38,96047;-0,65711
Convolvulus lanuginosus;38,96316;-0,7955
Convolvulus lanuginosus;38,96338;-0,80704
Convolvulus lanuginosus;38,9636;-0,81857
Convolvulus lanuginosus;38,96424;-0,85318
Convolvulus lanuginosus;38,96445;-0,86471
Convolvulus lanuginosus;38,96466;-0,87625
Convolvulus lanuginosus;38,96508;-0,89931
Convolvulus lanuginosus;38,96587;-0,48382
Convolvulus lanuginosus;38,96924;-0,64528
Convolvulus lanuginosus;38,97412;-0,4489
Convolvulus lanuginosus;38,97437;-0,46043
Convolvulus lanuginosus;38,97462;-0,47197
Convolvulus lanuginosus;38,97487;-0,4835
Convolvulus lanuginosus;38,97586;-0,52963
Convolvulus lanuginosus;38,9761;-0,54117
Convolvulus lanuginosus;38,97777;-0,62191
Convolvulus lanuginosus;38,97801;-0,63344
Convolvulus lanuginosus;38,97921;-0,27558
Convolvulus lanuginosus;38,98132;-0,36784
Convolvulus lanuginosus;38,98158;-0,37938
Convolvulus lanuginosus;38,98184;-0,39091
Convolvulus lanuginosus   ;38,98312;-0,44858
Convolvulus lanuginosus;38,98337;-0,46011
Convolvulus lanuginosus;38,9858;-0,61247
Convolvulus lanuginosus;38,9863;-0,59853
Convolvulus lanuginosus;38,98654;-0,61007
Convolvulus lanuginosus;38,98678;-0,62161
Convolvulus lanuginosus;38,98701;-0,63314
Convolvulus lanuginosus;38,98724;-0,64468
Convolvulus lanuginosus;38,98821;-0,27524
Convolvulus lanuginosus;38,98996;-0,78313
Convolvulus lanuginosus;38,99007;-0,35597
Convolvulus lanuginosus;38,99029;-0,26951
Convolvulus lanuginosus;38,99059;-0,37904
Convolvulus lanuginosus;38,99531;-0,59823
Convolvulus lanuginosus;38,99554;-0,60977
Convolvulus lanuginosus;38,99578;-0,62131
Convolvulus lanuginosus;38,99602;-0,63284
Convolvulus lanuginosus;38,99625;-0,64438
Convolvulus lanuginosus;38,99648;-0,65592
Convolvulus lanuginosus;38,99808;-0,73669
Convolvulus lanuginosus;38,99896;-0,78285
Convolvulus lanuginosus;38,99933;-0,36717
Convolvulus lanuginosus;38,99959;-0,37871
Convolvulus lanuginosus;39,00213;-0,49408
Convolvulus lanuginosus;39,00621;-0,27454
Convolvulus lanuginosus;39,00797;-0,78257
Convolvulus lanuginosus;39,02087;-0,52807
Convolvulus lanuginosus;39,02111;-0,53961
Convolvulus lanuginosus;39,02136;-0,55115
Convolvulus lanuginosus;39,02987;-0,52775
Convolvulus lanuginosus;39,03012;-0,5393
Convolvulus lanuginosus;39,03036;-0,55084
Convolvulus lanuginosus;39,03542;-0,80481
Convolvulus lanuginosus;39,03838;-0,50435
Convolvulus lanuginosus;39,03912;-0,53898
Convolvulus lanuginosus;39,04442;-0,80453
Convolvulus lanuginosus;39,04739;-0,50403
Convolvulus lanuginosus;39,05094;-0,26127
Convolvulus lanuginosus;39,05121;-0,27281
Convolvulus lanuginosus;39,05148;-0,28436
Convolvulus lanuginosus;39,05165;-0,71187
Convolvulus lanuginosus;39,05188;-0,72342
Convolvulus lanuginosus;39,05255;-0,75806
Convolvulus lanuginosus;39,05277;-0,76961
Convolvulus lanuginosus;39,05299;-0,78116
Convolvulus lanuginosus;39,05995;-0,26092
Convolvulus lanuginosus;39,06208;-0,35329
Convolvulus lanuginosus;39,06828;-0,64199
Convolvulus lanuginosus;39,06922;-0,27212
Convolvulus lanuginosus;39,06949;-0,28367
Convolvulus lanuginosus;39,06976;-0,29521
Convolvulus lanuginosus;39,07078;-0,76904
Convolvulus lanuginosus;39,07212;-0,39914
Convolvulus lanuginosus;39,07238;-0,41069
Convolvulus lanuginosus;39,07728;-0,64169
Convolvulus lanuginosus;39,07751;-0,65324
Convolvulus lanuginosus;39,07822;-0,27177
Convolvulus lanuginosus;39,07876;-0,29487
Convolvulus lanuginosus;39,07889;-0,72255
Convolvulus lanuginosus;39,07911;-0,7341
Convolvulus lanuginosus;39,08;-0,78031
Convolvulus lanuginosus;39,08044;-0,80342
Convolvulus lanuginosus;39,08629;-0,64139
Convolvulus lanuginosus;39,08652;-0,65294
Convolvulus lanuginosus;39,08675;-0,66449
Convolvulus lanuginosus;39,08829;-0,31763
Convolvulus lanuginosus;39,08834;-0,74537
Convolvulus lanuginosus;39,08857;-0,75692
Convolvulus lanuginosus;39,08879;-0,76848
Convolvulus lanuginosus;39,08901;-0,78003
Convolvulus lanuginosus;39,08923;-0,79158
Convolvulus lanuginosus;39,08945;-0,80314
Convolvulus lanuginosus;39,08988;-0,82625
Convolvulus lanuginosus;39,09575;-0,6642
Convolvulus lanuginosus;39,09599;-0,67575
Convolvulus lanuginosus;39,09779;-0,76819
Convolvulus lanuginosus;39,09931;-0,84908
Convolvulus lanuginosus;39,10453;-0,65234
Convolvulus lanuginosus;39,10499;-0,67546
Convolvulus lanuginosus;39,10568;-0,71012
Convolvulus lanuginosus;39,10709;-0,3516
Convolvulus lanuginosus;39,10724;-0,79102
Convolvulus lanuginosus;39,10746;-0,80258
Convolvulus lanuginosus;39,1081;-0,83725
Convolvulus lanuginosus;39,10832;-0,84881
Convolvulus lanuginosus;39,10853;-0,86037
Convolvulus lanuginosus;39,11353;-0,65204
Convolvulus lanuginosus;39,11376;-0,6636
Convolvulus lanuginosus;39,11668;-0,81386
Convolvulus lanuginosus;39,11689;-0,82542
Convolvulus lanuginosus;39,12277;-0,6633
Convolvulus lanuginosus;39,123;-0,67486
Convolvulus lanuginosus;39,12503;-0,7789
Convolvulus lanuginosus;39,12509;-0,35093
Convolvulus lanuginosus;39,12525;-0,79046
Convolvulus lanuginosus;39,12633;-0,84826
Convolvulus lanuginosus;39,12964;-0,55897
Convolvulus lanuginosus;39,13107;-0,62833
Convolvulus lanuginosus;39,13435;-0,36215
Convolvulus lanuginosus;39,13462;-0,37371
Convolvulus lanuginosus;39,13512;-0,83643
Convolvulus lanuginosus;39,13533;-0,84799
Convolvulus lanuginosus;39,13864;-0,55866
Convolvulus lanuginosus;39,1396;-0,6049
Convolvulus lanuginosus;39,13984;-0,61646
Convolvulus lanuginosus;39,14007;-0,62802
Convolvulus lanuginosus;39,14031;-0,63959
Convolvulus lanuginosus;39,14836;-0,59303
Convolvulus lanuginosus;39,1486;-0,6046
Convolvulus lanuginosus;39,14884;-0,61616
Convolvulus lanuginosus;39,14931;-0,63928
Convolvulus lanuginosus;39,1527;-0,81274
Convolvulus lanuginosus;39,15737;-0,59273
Convolvulus lanuginosus;39,1576;-0,60429
Convolvulus lanuginosus;39,1677;-1,15951
Convolvulus lanuginosus;39,17652;-1,1477
Convolvulus lanuginosus;39,17668;-0,24482
Convolvulus lanuginosus;39,17696;-0,25639
Convolvulus lanuginosus;39,17707;-1,18242
Convolvulus lanuginosus;39,18183;-0,92761
Convolvulus lanuginosus;39,1846;-1,0896
Convolvulus lanuginosus;39,18553;-1,14747
Convolvulus lanuginosus;39,18568;-0,24447
Convolvulus lanuginosus;39,18571;-1,15904
Convolvulus lanuginosus;39,18739;-0,7422
Convolvulus lanuginosus;39,18761;-0,75377
Convolvulus lanuginosus;39,18784;-0,76535
Convolvulus lanuginosus;39,18915;-0,83477
Convolvulus lanuginosus;39,19341;-1,07779
Convolvulus lanuginosus;39,1936;-1,08936
Convolvulus lanuginosus;39,19472;-1,1588
Convolvulus lanuginosus   Desr. in Lam.;39,1958;-1,22825
Convolvulus lanuginosus;39,19617;-0,73034
Convolvulus lanuginosus;39,19639;-0,74192
Convolvulus lanuginosus;39,19662;-0,75349
Convolvulus lanuginosus;39,19837;-0,84607
Convolvulus lanuginosus;39,19858;-0,85764
Convolvulus lanuginosus;39,20426;-0,68376
Convolvulus lanuginosus;39,20449;-0,69534
Convolvulus lanuginosus;39,2054;-0,74163
Convolvulus lanuginosus;39,20562;-0,7532
Convolvulus lanuginosus;39,20584;-0,76477
Convolvulus lanuginosus;39,20758;-0,85736
Convolvulus lanuginosus;39,21326;-0,68347
Convolvulus lanuginosus;39,21462;-0,75291
Convolvulus lanuginosus;39,21485;-0,76449
Convolvulus lanuginosus;39,21551;-0,79921
Convolvulus lanuginosus;39,21594;-0,82236
Convolvulus lanuginosus;39,21616;-0,83394
Convolvulus lanuginosus;39,2234;-0,74105
Convolvulus lanuginosus;39,22363;-0,75263
Convolvulus lanuginosus;39,22385;-0,7642
Convolvulus lanuginosus;39,22407;-0,77578
Convolvulus lanuginosus;39,22429;-0,78736
Convolvulus lanuginosus;39,22451;-0,79893
Convolvulus lanuginosus;39,22473;-0,81051
Convolvulus lanuginosus;39,22495;-0,82209
Convolvulus lanuginosus;39,22516;-0,83366
Convolvulus lanuginosus;39,22939;-0,59027
Convolvulus lanuginosus;39,22963;-1,08838
Convolvulus lanuginosus;39,23308;-0,77549
Convolvulus lanuginosus;39,2333;-0,78707
Convolvulus lanuginosus;39,23518;-0,77174
Convolvulus lanuginosus;39,23839;-0,58996
Convolvulus lanuginosus;39,23863;-0,60154
Convolvulus lanuginosus;39,24252;-0,79837
Convolvulus lanuginosus;39,24764;-0,60123
Convolvulus lanuginosus;39,24802;-1,11106
Convolvulus lanuginosus;39,25153;-0,79809
Convolvulus lanuginosus;39,25174;-0,80967
Convolvulus lanuginosus   ;39,25902;-1,23825
Convolvulus lanuginosus;39,26075;-0,80939
Convolvulus lanuginosus;39,26097;-0,82097
Convolvulus lanuginosus;39,26339;-0,81159
Convolvulus lanuginosus;39,2637;-0,50797
Convolvulus lanuginosus;39,2817;-0,50733
Convolvulus lanuginosus;39,28365;-0,6
Convolvulus lanuginosus;39,28483;-0,65793
Convolvulus lanuginosus   Desr.;39,28506;-0,66951
Convolvulus lanuginosus   Desr.;39,28529;-0,6811
Convolvulus lanuginosus;39,29169;-0,55335
Convolvulus lanuginosus;39,29361;-1,14462
Convolvulus lanuginosus;39,29383;-0,65763
Convolvulus lanuginosus   Desr.;39,29406;-0,66921
Convolvulus lanuginosus   Desr.;39,2943;-0,6808
Convolvulus lanuginosus   Desr.;39,29453;-0,69239
Convolvulus lanuginosus;39,3002;-0,52986
Convolvulus lanuginosus;39,30284;-0,65733
Convolvulus lanuginosus;39,30298;-1,16757
Convolvulus lanuginosus;39,30307;-0,66891
Convolvulus lanuginosus;39,3033;-0,6805
Convolvulus lanuginosus;39,30353;-0,69209
Convolvulus lanuginosus;39,30376;-0,70368
Convolvulus lanuginosus;39,30621;-0,83116
Convolvulus lanuginosus;39,3079;-0,92389
Convolvulus lanuginosus;39,30846;-0,49478
Convolvulus lanuginosus;39,30871;-0,50637
Convolvulus lanuginosus;39,30945;-0,54113
Convolvulus lanuginosus;39,30969;-0,55272
Convolvulus lanuginosus;39,31018;-0,5759
Convolvulus lanuginosus;39,31066;-0,59908
Convolvulus lanuginosus;39,3123;-0,6802
Convolvulus lanuginosus;39,31253;-0,69179
Convolvulus lanuginosus;39,31649;-0,90044
Convolvulus lanuginosus;39,31746;-0,49446
Convolvulus lanuginosus;39,31771;-0,50605
Convolvulus lanuginosus;39,31845;-0,54082
Convolvulus lanuginosus;39,31869;-0,55241
Convolvulus lanuginosus;39,31894;-0,564
Convolvulus lanuginosus;39,31918;-0,57559
Convolvulus lanuginosus;39,31942;-0,58718
Convolvulus lanuginosus;39,31966;-0,59877
Convolvulus lanuginosus;39,32356;-0,79583
