"","bio01","bio02","bio03","bio04","bio05","bio06","bio07","bio08","elev","presence"
"94",14,6,0,531,25,4,21,15,378,1
"95",14,6,0,530,25,5,21,15,280,1
"96",14,6,0,529,25,4,21,15,362,1
"97",15,4,0,487,25,7,18,13,80,1
"98",15,6,0,528,25,5,20,16,205,1
"99",15,4,0,504,25,7,18,16,53,1
"100",15,8,0,591,29,3,25,12,167,1
"101",15,5,0,510,25,6,19,16,131,1
"102",15,7,0,554,28,5,23,12,31,1
"103",15,6,0,562,27,5,22,16,19,1
"104",15,4,0,488,25,7,17,13,39,1
"105",15,4,0,489,24,7,18,13,91,1
"106",16,8,0,589,29,4,25,12,43,1
"107",15,8,0,589,29,4,25,12,76,1
"108",15,8,0,594,29,4,25,12,45,1
"109",15,8,0,591,29,3,25,12,156,1
"110",15,7,0,568,27,5,23,16,48,1
"111",15,7,0,565,27,4,23,16,75,1
"112",15,5,0,513,25,6,19,16,161,1
"113",14,6,0,528,25,5,20,16,230,1
"114",15,5,0,518,25,6,19,16,132,1
"115",14,5,0,508,24,5,19,15,293,1
"116",15,5,0,509,25,6,19,16,135,1
"117",14,5,0,508,24,6,19,16,211,1
"118",15,5,0,508,24,6,19,16,199,1
"119",14,5,0,510,24,5,19,16,220,1
"120",15,4,0,498,25,7,18,13,100,1
"121",15,8,0,588,29,4,25,12,154,1
"122",15,5,0,511,25,6,19,16,191,1
"123",15,5,0,513,25,6,19,16,113,1
"124",15,8,0,592,29,4,25,12,148,1
"125",15,4,0,486,25,7,17,13,26,1
"126",15,4,0,491,24,7,18,13,147,1
"127",15,5,0,505,24,6,19,16,177,1
"128",14,5,0,507,24,5,19,15,264,1
"129",14,5,0,508,24,5,19,15,253,1
"130",14,5,0,508,24,5,19,16,233,1
"131",14,5,0,507,24,5,19,15,360,1
"132",15,5,0,506,25,6,19,16,144,1
"133",16,8,0,583,29,5,25,12,15,1
"134",15,8,0,595,29,4,25,12,67,1
"135",14,9,0,586,28,3,25,11,209,1
"136",14,9,0,585,28,3,25,11,227,1
"137",15,9,0,590,29,3,26,11,116,1
"138",15,9,0,589,28,3,25,11,162,1
"139",15,7,0,557,27,4,23,12,121,1
"140",15,5,0,523,25,5,20,16,172,1
"141",15,8,0,592,29,4,25,12,66,1
"142",16,8,0,582,29,5,24,12,7,1
"143",14,5,0,509,24,5,19,15,257,1
"144",14,5,0,507,24,5,19,15,293,1
"145",14,5,0,510,24,5,19,15,328,1
"146",13,5,0,509,24,4,19,15,398,1
"147",15,5,0,511,25,6,19,16,146,1
"148",15,8,0,594,29,4,25,12,90,1
"149",15,8,0,593,29,4,25,12,113,1
"150",15,9,0,590,28,3,25,8,91,1
"151",14,9,0,585,28,2,25,11,255,1
"152",14,9,0,584,28,3,25,8,181,1
"153",15,6,0,542,27,5,22,12,51,1
"154",14,6,0,521,25,5,20,15,275,1
"155",14,9,0,585,28,3,25,8,159,1
"156",14,9,0,585,28,2,25,8,223,1
"157",14,9,0,582,28,2,25,8,272,1
"158",15,7,0,551,27,5,23,12,103,1
"159",15,5,0,509,25,6,19,16,157,1
"160",14,9,0,583,28,2,25,8,260,1
"161",15,7,0,554,27,4,23,12,144,1
"162",15,8,0,588,29,4,25,12,58,1
"163",16,8,0,589,29,4,25,12,45,1
"164",14,9,0,583,28,2,25,8,221,1
"165",14,9,0,582,27,2,25,8,280,1
"166",15,5,0,532,25,5,20,16,183,1
"167",15,5,0,503,25,6,19,16,118,1
"168",15,4,0,504,25,6,18,16,90,1
"169",15,4,0,489,25,7,18,13,50,1
"170",15,8,0,589,29,4,25,12,105,1
"171",14,5,0,511,24,5,19,15,279,1
"172",14,5,0,512,24,5,19,15,269,1
"173",15,9,0,586,28,3,25,11,162,1
"174",15,9,0,588,28,3,25,11,162,1
"175",15,9,0,587,28,3,25,8,150,1
"176",14,9,0,584,28,3,25,8,215,1
"177",15,8,0,590,29,4,25,12,68,1
"178",15,4,0,504,25,6,18,16,101,1
"179",15,4,0,501,25,7,18,16,82,1
"180",15,4,0,492,25,7,18,13,50,1
"181",14,6,0,524,24,4,20,15,347,1
"182",15,5,0,514,25,6,19,16,112,1
"183",15,9,0,587,28,3,25,8,140,1
"184",15,7,0,554,28,5,23,12,55,1
"185",15,9,0,590,29,3,25,11,99,1
"186",15,9,0,589,29,3,25,11,127,1
"187",14,9,0,584,28,3,25,8,234,1
"188",15,8,0,589,28,3,25,11,152,1
"189",15,4,0,507,25,6,19,16,126,1
"190",14,6,0,530,25,4,21,15,308,1
"191",13,6,0,527,24,4,21,14,408,1
"192",14,6,0,528,25,4,20,15,277,1
"193",14,6,0,531,25,4,21,15,277,1
"194",14,6,0,532,25,4,21,15,343,1
"195",15,5,0,512,25,6,19,16,150,1
"196",14,9,0,577,27,2,25,7,289,1
"197",16,8,0,576,29,5,24,12,7,1
"198",15,9,0,592,29,3,26,12,93,1
"199",15,9,0,590,29,3,26,11,115,1
"200",14,6,0,523,25,5,20,15,244,1
"201",15,5,0,522,25,5,20,16,187,1
"202",15,4,0,496,25,7,18,16,89,1
"203",15,8,0,581,29,4,24,12,51,1
"204",14,5,0,515,24,5,20,15,267,1
"205",14,5,0,514,25,5,19,16,211,1
"206",14,5,0,507,24,5,19,15,334,1
"207",14,5,0,507,24,5,19,16,219,1
"208",15,5,0,508,25,6,19,16,127,1
"209",14,5,0,512,24,5,19,15,268,1
"210",15,8,0,589,28,3,25,11,175,1
"211",15,8,0,590,29,3,25,11,137,1
"212",15,8,0,583,29,4,25,12,115,1
"213",15,8,0,588,28,3,25,11,175,1
"214",15,4,0,504,25,6,18,16,99,1
"215",14,9,0,584,28,3,25,8,195,1
"216",14,9,0,585,28,3,25,8,187,1
"217",14,9,0,584,28,3,25,8,179,1
"218",14,8,0,583,28,3,25,11,276,1
"219",14,8,0,584,28,3,25,11,286,1
"220",15,8,0,588,29,4,25,12,166,1
"221",16,7,0,564,28,5,23,12,3,1
"222",14,5,0,512,24,5,19,16,217,1
"223",15,9,0,591,29,3,25,11,117,1
"224",15,4,0,502,25,7,18,16,67,1
"225",16,7,0,572,29,5,24,12,13,1
"226",15,8,0,582,29,4,24,12,102,1
"227",15,8,0,595,29,4,26,12,66,1
"228",15,8,0,592,29,3,25,11,153,1
"229",14,9,0,584,28,3,25,8,180,1
"230",14,9,0,586,28,3,25,8,194,1
"231",15,9,0,588,29,3,25,8,106,1
"232",15,9,0,590,29,3,26,11,83,1
"233",14,8,0,586,28,3,25,8,187,1
"234",15,9,0,589,28,3,25,8,116,1
"235",14,9,0,587,28,3,25,11,189,1
"236",14,9,0,583,28,2,25,11,266,1
"237",14,6,0,530,25,5,21,15,272,1
"238",15,6,0,541,27,5,22,12,108,1
"239",14,4,0,498,24,6,18,12,236,1
"240",15,5,0,509,25,6,19,16,179,1
"242",15,8,0,588,29,4,25,12,100,1
"243",14,9,0,583,28,3,25,8,252,1
"244",14,9,0,584,28,3,25,8,204,1
"245",14,5,0,520,25,5,20,16,204,1
"246",13,11,0,585,28,1,28,10,851,1
"247",17,9,0,556,30,5,24,18,194,1
"248",19,6,0,461,28,10,19,17,40,1
"249",15,7,0,534,26,4,22,16,234,1
"250",15,6,0,556,27,5,22,16,643,1
"251",14,7,0,558,26,4,22,15,836,1
"252",17,6,0,460,27,8,19,12,311,1
"253",14,10,0,564,27,2,25,15,706,1
"254",14,10,0,611,29,2,28,15,534,1
"255",17,6,0,508,28,8,20,19,213,1
"256",19,6,0,480,29,9,20,17,111,1
"257",17,10,0,576,31,4,27,17,496,1
"258",16,7,0,550,27,5,22,17,573,1
"259",13,11,0,587,28,1,27,9,938,1
"260",14,9,0,557,27,2,25,15,640,1
"261",13,9,0,565,26,1,25,14,807,1
"262",16,7,0,553,27,5,22,17,571,1
"263",10,11,0,635,26,-3,29,6,1748,1
"264",14,10,0,554,28,2,27,8,920,1
"266",18,8,0,549,30,6,24,19,68,1
"267",14,10,0,561,27,2,25,15,594,1
"268",14,10,0,592,29,2,27,15,888,1
"269",17,11,0,592,31,3,28,17,456,1
"270",16,9,0,546,28,4,24,16,440,1
"271",18,6,0,507,29,9,20,19,120,1
"272",15,10,0,557,29,3,26,16,536,1
"273",14,7,0,565,27,4,23,15,788,1
"274",16,10,0,603,31,3,28,17,582,1
"275",15,11,0,643,31,2,29,18,445,1
"277",18,10,0,578,32,5,27,18,277,1
"278",15,8,0,558,28,4,24,16,528,1
"279",18,11,0,575,32,5,27,18,355,1
"280",13,12,0,669,29,-1,30,13,626,1
"281",16,10,0,581,31,4,27,17,467,1
"282",16,11,0,592,31,3,28,17,542,1
"283",14,10,0,592,28,1,26,15,332,1
"284",14,10,0,593,28,1,26,15,358,1
"285",14,11,0,644,30,1,30,7,1111,1
"286",12,11,0,637,28,-2,30,5,1249,1
"287",15,11,0,574,30,3,27,16,475,1
"288",17,10,0,550,30,5,25,18,196,1
"289",14,10,0,565,28,1,26,14,803,1
"290",15,10,0,566,29,3,26,16,556,1
"291",15,10,0,565,29,3,26,16,536,1
"292",15,10,0,563,29,3,26,16,538,1
"293",13,10,0,563,28,1,26,14,826,1
"294",13,10,0,563,27,1,26,14,876,1
"295",13,10,0,563,27,1,26,14,863,1
"296",14,10,0,566,28,2,26,14,777,1
"297",14,10,0,563,28,1,26,14,813,1
"298",13,10,0,563,27,1,26,14,869,1
"299",13,10,0,564,28,1,26,14,857,1
"300",14,7,0,569,26,3,23,15,862,1
"301",16,6,0,546,27,6,22,17,514,1
"302",17,11,0,577,31,4,27,18,264,1
"303",16,7,0,528,27,6,22,11,689,1
"304",14,11,0,624,30,1,29,11,942,1
"305",11,11,0,640,28,-1,29,13,1200,1
"306",17,8,0,530,28,6,23,18,216,1
"307",17,8,0,525,28,6,22,18,140,1
"308",17,8,0,518,28,7,22,18,105,1
"309",17,8,0,528,29,6,23,18,143,1
"310",17,8,0,530,28,6,23,18,199,1
"311",17,8,0,528,28,6,22,18,171,1
"312",17,8,0,521,28,6,22,18,120,1
"313",17,8,0,528,28,6,22,18,194,1
"314",17,8,0,523,28,6,22,18,149,1
"315",18,7,0,513,29,7,22,19,37,1
"316",18,7,0,512,28,7,21,19,35,1
"317",17,8,0,551,29,6,23,18,71,1
"318",15,10,0,582,28,2,26,15,542,1
"319",16,9,0,568,29,4,25,17,197,1
"320",14,10,0,587,28,1,26,14,639,1
"321",17,7,0,523,28,6,22,18,79,1
"322",17,10,0,562,30,5,25,18,135,1
"323",16,11,0,590,31,3,28,17,403,1
"324",16,11,0,594,31,4,28,17,355,1
"325",15,6,0,555,27,5,22,16,673,1
"326",17,9,0,536,29,5,24,18,185,1
"327",17,9,0,541,29,5,24,18,234,1
"328",14,11,0,660,31,1,30,10,772,1
"329",19,11,0,574,33,5,28,19,63,1
"330",14,11,0,606,30,1,28,11,727,1
"331",14,11,0,609,30,1,28,11,702,1
"332",16,10,0,568,30,4,27,17,349,1
"333",16,10,0,572,30,3,27,17,406,1
"334",15,10,0,557,29,3,26,16,562,1
"335",15,10,0,560,29,3,26,16,545,1
"336",15,10,0,559,29,3,26,16,498,1
"337",15,10,0,558,29,3,26,16,464,1
"338",13,6,0,517,24,4,20,8,1092,1
"339",15,11,0,607,30,2,28,15,820,1
"340",18,10,0,564,32,6,26,19,75,1
"341",16,9,0,546,28,4,24,17,423,1
"342",16,9,0,543,28,4,24,17,372,1
"343",15,7,0,533,26,5,22,10,850,1
"344",16,9,0,546,28,5,24,17,320,1
"345",16,9,0,552,28,4,24,17,436,1
"346",14,10,0,572,28,2,26,15,744,1
"347",14,10,0,567,29,2,26,15,654,1
"348",15,11,0,597,31,3,28,16,573,1
"349",15,9,0,554,28,3,25,16,501,1
"350",17,11,0,575,31,4,27,18,222,1
"351",17,10,0,572,31,5,27,18,137,1
"352",18,10,0,564,31,5,26,18,114,1
"353",17,10,0,564,30,5,25,18,136,1
"354",16,10,0,556,29,3,26,16,450,1
"355",16,10,0,558,29,4,26,17,400,1
"356",16,10,0,560,29,3,26,16,427,1
"357",17,9,0,562,29,5,25,17,335,1
"358",16,9,0,549,29,4,25,17,291,1
"359",16,10,0,550,29,4,25,17,293,1
"360",16,11,0,691,33,2,31,9,558,1
"361",13,12,0,669,29,-1,30,13,613,1
"362",18,10,0,568,31,5,26,18,149,1
"363",16,9,0,564,29,4,25,17,423,1
"364",17,11,0,586,32,4,28,18,295,1
"365",16,11,0,595,31,3,28,17,492,1
"366",16,9,0,546,28,4,24,17,374,1
"367",17,8,0,527,28,6,22,18,176,1
"368",17,8,0,529,28,6,23,18,195,1
"369",17,8,0,526,28,6,22,18,154,1
"370",17,11,0,574,31,4,27,17,288,1
"371",16,11,0,620,31,2,29,16,474,1
"372",14,11,0,590,30,2,28,15,677,1
"373",15,11,0,579,29,2,27,15,623,1
"374",16,10,0,615,31,3,28,17,432,1
"375",16,10,0,615,31,3,28,17,411,1
"376",13,11,0,617,29,1,28,14,895,1
"377",14,11,0,618,30,1,29,15,750,1
"378",16,10,0,558,31,4,27,10,412,1
"379",14,11,0,603,30,2,28,15,766,1
"380",17,5,0,479,27,8,19,12,398,1
"381",17,12,0,630,33,3,30,17,409,1
"382",16,11,0,568,30,4,27,17,393,1
"383",18,8,0,536,30,7,23,19,163,1
"384",18,8,0,531,30,7,23,19,161,1
"385",13,11,0,591,28,1,28,14,877,1
"386",17,11,0,574,31,4,27,18,224,1
"387",15,11,0,585,30,2,28,16,530,1
"388",13,10,0,555,28,1,27,8,1005,1
"389",15,11,0,590,30,2,28,16,570,1
"390",17,3,0,478,26,10,17,19,174,1
"391",16,11,0,596,31,3,28,17,452,1
"392",17,11,0,590,32,4,28,17,332,1
"393",14,11,0,605,29,1,28,14,871,1
"394",14,11,0,607,30,1,28,15,830,1
"395",12,11,0,586,27,0,27,13,1042,1
"396",13,11,0,603,28,0,28,9,988,1
"397",13,11,0,606,29,1,28,10,903,1
"398",15,11,0,582,30,2,27,16,588,1
"399",16,11,0,604,32,3,28,17,437,1
"400",13,10,0,597,28,1,28,14,1032,1
"401",14,11,0,609,29,1,28,14,950,1
"402",13,10,0,597,28,0,28,13,1062,1
"403",14,10,0,560,28,2,26,15,656,1
"404",17,7,0,455,27,8,20,13,260,1
"405",16,11,0,634,33,3,30,17,501,1
"406",17,9,0,557,30,5,25,18,313,1
"409",17,9,0,552,30,6,25,18,281,1
"410",15,9,0,576,29,3,26,16,661,1
"411",17,9,0,554,30,6,24,18,185,1
"412",16,11,0,595,31,3,28,16,635,1
"413",17,8,0,534,28,5,23,18,206,1
"414",15,9,0,546,28,4,24,16,429,1
"415",16,7,0,539,27,4,22,17,361,1
"416",17,9,0,552,30,6,24,18,175,1
"417",17,10,0,551,30,5,25,18,136,1
"418",17,9,0,551,30,6,24,18,152,1
"419",16,11,0,595,31,3,28,17,559,1
"420",15,11,0,601,30,3,28,16,673,1
"421",18,5,0,494,28,9,19,20,132,1
"422",18,8,0,546,29,6,23,19,95,1
"423",15,10,0,561,30,3,27,9,603,1
"424",18,6,0,501,29,9,20,20,59,1
"425",16,9,0,539,30,4,26,10,607,1
"426",15,11,0,597,30,2,28,16,635,1
"427",15,10,0,613,30,2,28,15,791,1
"429",18,8,0,547,30,6,23,19,102,1
"430",14,11,0,603,30,1,28,15,805,1
"431",14,11,0,604,30,2,28,15,757,1
"432",15,6,0,500,26,6,20,10,706,1
"433",16,6,0,495,27,7,20,12,497,1
"434",15,10,0,606,30,2,27,9,849,1
"435",16,11,0,641,31,2,30,9,835,1
"436",13,12,0,634,29,-1,30,6,1152,1
"437",18,8,0,535,29,7,22,19,110,1
"438",17,8,0,538,29,6,22,19,142,1
"439",17,8,0,536,29,6,22,19,117,1
"440",17,8,0,536,29,6,22,18,155,1
"441",15,10,0,566,29,2,26,15,651,1
"442",16,10,0,559,29,3,26,16,423,1
"443",13,10,0,557,27,1,25,14,878,1
"444",14,10,0,557,27,2,25,14,797,1
"445",16,10,0,558,30,4,26,17,360,1
"446",16,10,0,559,30,4,26,17,403,1
"447",16,10,0,559,29,3,26,16,441,1
"448",16,10,0,560,29,3,26,17,421,1
"449",16,10,0,558,30,4,26,17,343,1
"450",15,10,0,562,29,3,26,16,559,1
"451",16,11,0,603,31,3,28,17,454,1
"452",18,9,0,549,30,6,24,19,119,1
"453",17,9,0,550,30,6,24,18,134,1
"454",17,9,0,560,30,5,25,18,263,1
"455",16,9,0,570,29,4,25,17,254,1
"456",16,11,0,624,32,3,29,17,394,1
"457",16,11,0,630,32,2,29,16,450,1
"458",16,11,0,651,33,3,30,17,429,1
"459",15,10,0,608,30,2,28,16,689,1
"460",16,11,0,613,31,3,29,16,532,1
"461",16,8,0,572,28,4,24,10,797,1
"462",18,5,0,417,27,10,17,14,56,1
"463",16,10,0,611,30,3,28,9,798,1
"464",15,10,0,585,29,3,27,16,664,1
"465",15,10,0,585,29,3,27,16,613,1
"466",15,10,0,585,29,3,27,16,660,1
"467",15,10,0,586,29,2,27,16,671,1
"468",15,10,0,587,29,2,27,15,706,1
"469",16,9,0,546,29,4,24,17,289,1
"470",16,9,0,546,29,4,25,17,311,1
"471",16,9,0,544,29,4,24,17,285,1
"472",14,11,0,580,29,2,27,11,735,1
"473",16,11,0,613,31,3,29,17,409,1
"474",15,9,0,554,28,3,25,16,531,1
"475",14,11,0,586,29,1,28,15,722,1
"476",15,11,0,584,30,2,27,16,567,1
"477",17,10,0,571,31,5,26,18,238,1
"478",17,10,0,570,30,5,26,18,307,1
"479",15,10,0,568,30,3,26,16,480,1
"480",16,10,0,565,30,4,26,17,428,1
"481",16,10,0,568,30,3,26,16,475,1
"482",15,10,0,566,30,3,26,16,488,1
"483",17,8,0,541,29,6,23,18,154,1
"484",17,9,0,545,29,5,24,18,228,1
"485",17,9,0,548,29,5,24,18,245,1
"486",17,9,0,548,29,5,24,18,224,1
"487",17,9,0,549,29,5,24,18,199,1
"488",17,8,0,544,29,6,23,18,166,1
"489",18,8,0,541,29,6,23,19,111,1
"490",17,8,0,540,29,6,23,18,136,1
"491",18,8,0,538,29,6,23,19,119,1
"492",17,8,0,542,29,6,23,19,130,1
"493",17,8,0,542,29,6,23,18,159,1
"494",18,8,0,543,29,6,23,19,83,1
"495",18,8,0,546,30,6,23,19,87,1
"496",18,8,0,542,29,7,23,19,62,1
"497",18,8,0,542,29,7,22,19,103,1
"498",18,7,0,540,29,7,22,19,74,1
"499",18,7,0,538,29,7,22,19,56,1
"500",16,9,0,573,29,4,25,17,324,1
"501",15,10,0,568,28,3,25,16,463,1
"502",15,10,0,567,28,3,26,16,473,1
"503",17,8,0,546,28,5,23,18,273,1
"504",17,8,0,546,29,5,23,18,276,1
"505",17,8,0,543,28,5,23,18,243,1
"506",16,8,0,551,28,5,24,17,377,1
"507",17,10,0,553,30,5,25,18,172,1
"508",18,8,0,544,30,6,23,19,70,1
"509",13,10,0,590,28,1,27,14,1015,1
"510",14,11,0,595,29,1,28,14,799,1
"511",14,11,0,594,29,1,28,14,813,1
"512",18,10,0,536,31,6,25,19,248,1
"513",18,8,0,542,29,7,23,19,65,1
"514",17,10,0,526,31,5,26,12,334,1
"515",15,9,0,546,28,4,24,16,473,1
"516",12,11,0,590,28,0,28,9,1087,1
"517",18,11,0,571,32,5,27,19,76,1
"518",18,11,0,573,32,5,27,18,129,1
"519",13,10,0,563,28,1,26,14,831,1
"520",14,10,0,561,28,2,26,14,773,1
"521",16,11,0,595,31,4,28,17,380,1
"522",17,9,0,539,29,5,24,18,161,1
"523",17,9,0,538,29,5,24,18,188,1
"524",17,9,0,538,29,5,24,18,195,1
"525",17,9,0,540,29,5,24,18,184,1
"526",17,10,0,557,31,5,26,18,171,1
"527",18,7,0,536,29,7,22,19,57,1
"528",15,11,0,587,30,3,28,16,528,1
"529",15,11,0,587,30,2,28,16,580,1
"530",16,11,0,588,31,3,28,17,364,1
"531",17,8,0,532,29,6,23,18,194,1
"532",13,11,0,575,28,1,27,14,939,1
"533",17,11,0,579,31,4,27,17,276,1
"534",15,11,0,609,30,2,28,11,646,1
"535",18,8,0,546,30,6,24,19,85,1
"536",18,8,0,545,30,6,24,19,75,1
"538",18,8,0,545,29,6,23,19,101,1
"539",18,8,0,545,30,6,23,19,80,1
"540",17,9,0,549,30,6,24,18,140,1
"541",17,9,0,552,30,6,24,18,152,1
"542",18,8,0,548,30,6,24,19,124,1
"543",18,8,0,547,30,6,24,19,98,1
"544",17,9,0,548,30,6,24,18,133,1
"545",16,11,0,588,31,3,28,16,458,1
"546",15,11,0,588,30,2,28,16,564,1
"547",16,11,0,585,31,3,28,17,350,1
"549",14,6,0,487,25,5,20,10,785,1
"550",18,9,0,548,30,6,24,19,102,1
"551",18,9,0,547,30,6,24,19,77,1
"552",17,11,0,582,32,4,28,18,227,1
"553",16,11,0,582,31,3,27,17,408,1
"554",16,11,0,583,31,4,27,17,333,1
"555",15,5,0,479,25,7,19,11,654,1
"556",14,7,0,511,26,4,22,9,845,1
"557",16,11,0,588,31,3,28,17,441,1
"558",15,11,0,593,30,2,28,12,552,1
"559",15,11,0,595,30,2,28,11,619,1
"560",15,11,0,593,30,2,28,12,536,1
"561",16,11,0,584,31,3,28,17,392,1
"562",15,11,0,595,30,2,28,11,637,1
"563",17,11,0,580,32,4,28,18,186,1
"564",17,11,0,580,31,4,28,18,253,1
"565",13,11,0,634,29,0,29,15,956,1
"566",13,10,0,601,28,1,28,14,1046,1
"567",15,11,0,598,30,2,28,16,622,1
"568",14,11,0,598,29,1,28,14,857,1
"569",13,11,0,600,29,1,28,14,891,1
"570",15,10,0,590,30,3,27,16,574,1
"571",16,6,0,547,27,6,22,17,540,1
"572",16,6,0,539,28,6,21,18,432,1
"573",17,4,0,489,27,9,17,19,213,1
"574",16,11,0,566,30,4,27,17,332,1
"575",16,11,0,570,30,3,27,17,396,1
"576",14,10,0,582,28,2,26,14,910,1
"577",17,10,0,567,31,4,26,17,291,1
"578",17,10,0,565,31,4,26,17,264,1
"579",12,10,0,596,27,0,27,12,1248,1
"580",17,11,0,586,32,4,28,18,381,1
"581",17,11,0,587,32,4,28,18,330,1
"582",18,7,0,542,29,7,22,19,86,1
"583",17,12,0,598,32,3,28,17,405,1
"584",17,12,0,594,32,3,28,18,357,1
"585",17,10,0,554,31,5,26,18,196,1
"586",15,5,0,472,25,7,18,11,662,1
"587",16,10,0,607,31,3,28,17,535,1
"588",15,11,0,585,30,3,28,16,514,1
"589",17,11,0,580,31,4,28,17,305,1
"590",17,10,0,560,30,5,26,18,197,1
"591",17,10,0,562,30,5,26,18,230,1
"592",17,10,0,563,30,5,26,18,240,1
"593",15,11,0,602,31,2,28,16,605,1
"594",17,10,0,558,31,5,26,18,220,1
"595",16,8,0,534,28,5,23,18,269,1
"596",17,8,0,530,28,6,22,18,250,1
"597",16,11,0,595,31,3,28,13,401,1
"598",18,8,0,541,29,7,23,19,42,1
"599",18,8,0,543,29,7,23,19,70,1
"600",18,8,0,545,29,6,23,19,95,1
"601",16,9,0,564,30,4,25,17,370,1
"602",16,9,0,565,29,4,25,17,433,1
"603",16,9,0,566,29,4,25,17,474,1
"604",17,9,0,560,30,5,25,17,325,1
"605",16,9,0,564,30,4,25,17,372,1
"606",16,9,0,565,29,4,25,17,441,1
"607",15,9,0,574,29,3,26,16,610,1
"608",15,7,0,528,27,5,22,10,758,1
"609",15,10,0,578,29,3,26,16,698,1
"610",18,6,0,483,28,8,20,19,218,1
"611",18,6,0,478,28,9,20,20,96,1
"612",16,10,0,600,31,3,28,17,557,1
"613",16,10,0,607,31,3,28,16,652,1
"614",17,8,0,547,29,6,23,19,134,1
"615",16,10,0,612,31,3,28,17,408,1
"616",15,10,0,623,31,2,29,16,555,1
"617",14,11,0,620,30,1,29,15,736,1
"618",15,11,0,621,30,2,29,15,645,1
